iter	Passed	Remaining
371	218219	75086
372	218667	74452
373	219313	73886
374	219744	73248
375	220286	72647
376	221005	72105
377	221440	71470
378	221921	70850
379	222591	70292
380	223554	69824
381	224012	69197
382	224454	68567
383	225035	67979
384	225611	67390
385	226228	66813
386	226984	66277
387	227422	65647
388	227834	65011
389	228377	64414
390	228856	63798
391	229376	63195
392	229974	62613
393	230363	61976
394	230883	61374
395	231273	60738
396	231980	60186
397	232401	59560
398	232859	58944
399	233322	58330
400	233798	57720
401	234347	57129
402	234868	56531
403	235303	55913
404	235876	55329
405	236272	54703
406	236764	54100
407	237323	53514
408	237746	52897
409	238297	52309
410	238723	51694
411	239251	51102
412	239733	50500
413	240186	49893
414	240618	49283
415	241763	48817
416	243875	48541
417	244472	47958
418	245049	47372
419	245466	46755
420	245956	46153
421	246366	45537
422	247062	44973
423	247740	44406
424	248300	43817
425	248844	43226
426	249394	42636
427	249887	42037
428	250506	41459
429	250911	40846
430	251381	40244
431	252097	39682
432	252554	39078
433	253005	38475
434	253655	37902
435	254106	37300
436	254516	36692
437	255024	36099
438	255604	35516
439	256247	34942
440	256821	34359
441	257422	33779
442	257943	33189
443	258446	32596
444	258970	32007
445	259566	31427
446	260003	30828
447	260654	30254
448	261147	29662
449	261718	29079
450	262257	28493
451	264544	28093
452	265629	27559
453	267357	27089
454	269832	26686
455	270640	26114
456	271209	25518
457	271821	24926
458	272499	24340
459	273016	23740
460	273537	23140
461	274192	22552
462	274626	21946
463	275091	21343
464	275499	20736
465	276217	20153
466	276831	19561
467	277401	18967
468	277903	18368
469	278453	17773
470	278943	17174
471	279460	16578
472	279898	15977
473	280575	15390
474	281345	14807
475	281873	14212
476	282637	13628
477	283083	13028
478	283724	12438
479	284305	11846
480	284950	11255
481	285519	10662
482	286190	10072
483	286692	9477
484	287382	8888
485	288072	8298
486	288715	7706
487	289203	7111
488	289724	6517
489	290231	5923
490	290720	5328
491	291175	4734
492	291652	4141
493	292111	3547
494	292682	2956
495	293301	2365
496	293950	1774
497	295299	1185
498	298331	597
499	298902	0
