iter	MultiClass
358	0.64673786
359	0.6466060403
360	0.6464725832
361	0.6462822289
362	0.6462006627
363	0.6459717141
364	0.645799453
365	0.6456727703
366	0.6456533511
367	0.6455024672
368	0.6453371338
369	0.6452010685
370	0.6450502661
371	0.6449223929
372	0.644810088
373	0.6447538168
374	0.6445983188
375	0.6444676893
376	0.6443659982
377	0.6442377059
378	0.6440966644
379	0.6440311174
380	0.6439131595
381	0.6437562761
382	0.6435874371
383	0.6435200925
384	0.6433963947
385	0.6432192557
386	0.6431548222
387	0.6430358087
388	0.6428226331
389	0.642742725
390	0.6426469488
391	0.6425782824
392	0.6425381054
393	0.6423522185
394	0.6422506234
395	0.6420807216
396	0.6420160273
397	0.6418845283
398	0.6417339468
399	0.6416548608
400	0.6414911356
401	0.6413811183
402	0.6412635803
403	0.6411285478
404	0.6410492494
405	0.6408954125
406	0.6407736222
407	0.6407083365
408	0.6405422931
409	0.6404719901
410	0.6402705647
411	0.6401989823
412	0.6400981913
413	0.6399264485
414	0.6397611496
415	0.6397139521
416	0.6396209622
417	0.6394379662
418	0.6393420637
419	0.639267485
420	0.6391669881
421	0.6389967541
422	0.6389337193
423	0.6388984173
424	0.6388207039
425	0.6387425395
426	0.6386730835
427	0.6385742453
428	0.6385340704
429	0.6384521142
430	0.6383627487
431	0.6382624722
432	0.6381608974
433	0.6380559688
434	0.6379592313
435	0.6378615026
436	0.637676022
437	0.6375542502
438	0.6374541237
439	0.6374045776
440	0.6373361633
441	0.6372028103
442	0.6371019901
443	0.6369916038
444	0.6368891638
445	0.6367912942
446	0.6366870848
447	0.6366107625
448	0.6365076208
449	0.6364267475
450	0.6363217633
451	0.6362245693
452	0.6361509823
453	0.6359414032
454	0.6358239244
455	0.6357285925
456	0.6356372567
457	0.6355348978
458	0.6354377821
459	0.6352931451
460	0.6351540745
461	0.635052188
462	0.6349483573
463	0.6348548742
464	0.6347473366
465	0.6346720222
466	0.6345717035
467	0.6345076188
468	0.6343788778
469	0.6343153845
470	0.6341553875
471	0.6340385769
472	0.633958685
473	0.6339458908
474	0.633903725
475	0.6338173781
476	0.6337525153
477	0.6335917631
478	0.6335059031
479	0.6334401714
480	0.6333720332
481	0.6333145526
482	0.6332135459
483	0.633104065
484	0.6330341918
485	0.6330065403
486	0.6329047704
487	0.6327989126
488	0.6326866625
489	0.6325908126
490	0.6324887213
491	0.6323049127
492	0.6321998739
493	0.6320932581
494	0.6320405453
495	0.6319754668
496	0.6318795449
497	0.6318335011
498	0.631759466
499	0.6316712845
